,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
258,0 days 00:32:34.486000,99,0 days 00:01:24.118000,3,2,,,0 days 00:00:17.279000,0 days 00:00:36.325000,0 days 00:00:30.514000,0 days 00:31:27.647000,0 days 00:32:03.972000,0 days 00:32:34.486000,289.0,321.0,221.0,325.0,False,SOFT,3.0,True,0 days 00:31:10.368000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:16:10.552
259,0 days 00:35:03.800000,99,0 days 00:02:29.314000,1,2,,,0 days 00:00:24.504000,0 days 00:00:59.169000,0 days 00:01:05.641000,0 days 00:32:58.990000,0 days 00:33:58.159000,0 days 00:35:03.800000,239.0,123.0,221.0,130.0,False,SOFT,4.0,True,0 days 00:32:34.486000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:17:34.670
260,0 days 00:36:53.147000,99,0 days 00:01:49.347000,2,3,,0 days 00:36:52.079000,0 days 00:00:22.675000,0 days 00:00:46.689000,0 days 00:00:39.983000,0 days 00:35:26.475000,0 days 00:36:13.164000,0 days 00:36:53.147000,137.0,244.0,,211.0,False,SOFT,1.0,True,0 days 00:35:03.800000,Alfa Romeo Racing,GIO,1,False,2021-12-11 13:20:03.984
261,0 days 00:45:38.748000,99,,3,3,0 days 00:43:51.020000,,,0 days 00:00:45.228000,0 days 00:00:39.268000,,0 days 00:44:59.513000,0 days 00:45:38.772000,245.0,264.0,226.0,200.0,False,MEDIUM,2.0,True,0 days 00:36:53.147000,Alfa Romeo Racing,GIO,2,False,2021-12-11 13:21:53.331
262,0 days 00:47:02.999000,99,0 days 00:01:24.251000,4,3,,,0 days 00:00:17.236000,0 days 00:00:36.237000,0 days 00:00:30.778000,0 days 00:45:55.984000,0 days 00:46:32.221000,0 days 00:47:02.999000,288.0,318.0,221.0,323.0,True,MEDIUM,3.0,True,0 days 00:45:38.748000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:30:38.932
263,0 days 00:49:15.906000,99,0 days 00:02:12.907000,5,3,,,0 days 00:00:25.201000,0 days 00:00:57.879000,0 days 00:00:49.827000,0 days 00:47:28.200000,0 days 00:48:26.079000,0 days 00:49:15.906000,237.0,138.0,225.0,141.0,False,MEDIUM,4.0,True,0 days 00:47:02.999000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:32:03.183
264,0 days 00:50:40.343000,99,0 days 00:01:24.437000,1,3,,,0 days 00:00:17.318000,0 days 00:00:36.201000,0 days 00:00:30.918000,0 days 00:49:33.224000,0 days 00:50:09.425000,0 days 00:50:40.343000,289.0,320.0,221.0,324.0,False,MEDIUM,5.0,True,0 days 00:49:15.906000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:34:16.090
265,0 days 00:52:21.549000,99,0 days 00:01:41.206000,2,4,,0 days 00:52:20.415000,0 days 00:00:19.223000,0 days 00:00:43.573000,0 days 00:00:38.410000,0 days 00:50:59.566000,0 days 00:51:43.139000,0 days 00:52:21.549000,261.0,244.0,,237.0,False,MEDIUM,1.0,True,0 days 00:50:40.343000,Alfa Romeo Racing,GIO,2,False,2021-12-11 13:35:40.527
266,0 days 00:57:33.312000,99,,3,4,0 days 00:54:38.139000,,,0 days 00:00:53.856000,0 days 00:01:29.942000,,0 days 00:56:03.390000,0 days 00:57:33.312000,249.0,201.0,219.0,109.0,False,SOFT,2.0,True,0 days 00:52:21.549000,Alfa Romeo Racing,GIO,2,False,2021-12-11 13:37:21.733
267,0 days 00:58:57.748000,99,0 days 00:01:24.436000,1,4,,,0 days 00:00:17.455000,0 days 00:00:36.152000,0 days 00:00:30.829000,0 days 00:57:50.767000,0 days 00:58:26.919000,0 days 00:58:57.748000,289.0,320.0,218.0,324.0,False,SOFT,3.0,True,0 days 00:57:33.312000,Alfa Romeo Racing,GIO,1,True,2021-12-11 13:42:33.496
268,0 days 01:00:45.236000,99,0 days 00:01:47.488000,2,4,,0 days 01:00:44.136000,0 days 00:00:20.755000,0 days 00:00:44.637000,0 days 00:00:42.096000,0 days 00:59:18.503000,0 days 01:00:03.140000,0 days 01:00:45.236000,255.0,225.0,,223.0,False,SOFT,4.0,True,0 days 00:58:57.748000,Alfa Romeo Racing,GIO,1,False,2021-12-11 13:43:57.932
269,0 days 00:16:54.665000,5,,3,1,0 days 00:15:03.118000,,,0 days 00:00:46.296000,0 days 00:00:42.763000,,0 days 00:16:11.992000,0 days 00:16:54.892000,246.0,238.0,224.0,228.0,False,SOFT,1.0,True,0 days 00:15:03.118000,Aston Martin,VET,1,False,2021-12-11 13:00:03.302
270,0 days 00:18:19.711000,5,0 days 00:01:25.046000,4,1,,,0 days 00:00:17.414000,0 days 00:00:36.501000,0 days 00:00:31.131000,0 days 00:17:12.079000,0 days 00:17:48.580000,0 days 00:18:19.711000,285.0,318.0,222.0,319.0,False,SOFT,2.0,True,0 days 00:16:54.665000,Aston Martin,VET,1,True,2021-12-11 13:01:54.849
271,0 days 00:20:28.591000,5,0 days 00:02:08.880000,5,1,,,0 days 00:00:23.794000,0 days 00:00:50.892000,0 days 00:00:54.194000,0 days 00:18:43.505000,0 days 00:19:34.397000,0 days 00:20:28.591000,231.0,199.0,196.0,187.0,False,SOFT,3.0,True,0 days 00:18:19.711000,Aston Martin,VET,1,True,2021-12-11 13:03:19.895
272,0 days 00:22:20.780000,5,0 days 00:01:52.189000,1,1,,,0 days 00:00:21.356000,0 days 00:00:48.135000,0 days 00:00:42.698000,0 days 00:20:49.947000,0 days 00:21:38.082000,0 days 00:22:20.780000,256.0,219.0,223.0,238.0,False,SOFT,4.0,True,0 days 00:20:28.591000,Aston Martin,VET,1,True,2021-12-11 13:05:28.775
273,0 days 00:23:45.444000,5,0 days 00:01:24.664000,2,1,,,0 days 00:00:17.378000,0 days 00:00:36.291000,0 days 00:00:30.995000,0 days 00:22:38.158000,0 days 00:23:14.449000,0 days 00:23:45.444000,286.0,315.0,223.0,320.0,False,SOFT,5.0,True,0 days 00:22:20.780000,Aston Martin,VET,1,True,2021-12-11 13:07:20.964
274,0 days 00:25:39.770000,5,0 days 00:01:54.326000,1,2,,0 days 00:25:38.595000,0 days 00:00:19.882000,0 days 00:00:47.057000,0 days 00:00:47.387000,0 days 00:24:05.326000,0 days 00:24:52.383000,0 days 00:25:39.770000,260.0,260.0,,201.0,False,SOFT,1.0,True,0 days 00:23:45.444000,Aston Martin,VET,1,False,2021-12-11 13:08:45.628
275,0 days 00:31:44.297000,5,,2,2,0 days 00:29:56.154000,,,0 days 00:00:45.345000,0 days 00:00:40.182000,,0 days 00:31:04.119000,0 days 00:31:44.553000,246.0,205.0,208.0,231.0,False,SOFT,2.0,True,0 days 00:25:39.770000,Aston Martin,VET,5,False,2021-12-11 13:10:39.954
276,0 days 00:33:30.359000,5,0 days 00:01:46.062000,3,2,,,0 days 00:00:20.821000,0 days 00:00:44.114000,0 days 00:00:41.127000,0 days 00:32:05.118000,0 days 00:32:49.232000,0 days 00:33:30.359000,260.0,220.0,225.0,273.0,False,SOFT,3.0,True,0 days 00:31:44.297000,Aston Martin,VET,1,True,2021-12-11 13:16:44.481
277,0 days 00:34:54.584000,5,0 days 00:01:24.225000,4,2,,,0 days 00:00:17.257000,0 days 00:00:36.192000,0 days 00:00:30.776000,0 days 00:33:47.616000,0 days 00:34:23.808000,0 days 00:34:54.584000,288.0,315.0,222.0,319.0,False,SOFT,4.0,True,0 days 00:33:30.359000,Aston Martin,VET,1,True,2021-12-11 13:18:30.543
278,0 days 00:36:48.790000,5,0 days 00:01:54.206000,1,3,,0 days 00:36:47.178000,0 days 00:00:22.717000,0 days 00:00:49.611000,0 days 00:00:41.878000,0 days 00:35:17.301000,0 days 00:36:06.912000,0 days 00:36:48.790000,191.0,203.0,,241.0,False,SOFT,1.0,True,0 days 00:34:54.584000,Aston Martin,VET,1,False,2021-12-11 13:19:54.768
279,0 days 00:45:23.564000,5,,1,3,0 days 00:43:29.680000,,,0 days 00:00:44.416000,0 days 00:00:39.760000,,0 days 00:44:43.812000,0 days 00:45:23.580000,233.0,247.0,209.0,251.0,False,SOFT,6.0,False,0 days 00:36:48.790000,Aston Martin,VET,2,False,2021-12-11 13:21:48.974
